filename,actual_folder,actual_label,predicted_label,is_correct,confidence,anomaly_score,reconstruction_loss,largest_cluster_pct,cluster_count,largest_cluster_area,path
no (1).jpg,no,Normal,Normal,True,0.6821373933926225,0.023171482607722282,0.0019071756396442652,0.92,294,464,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (1).jpg
no (10).jpg,no,Normal,Normal,True,0.6417871831605833,0.027222890406847,0.002149276901036501,0.61,292,307,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (10).jpg
no (11).jpg,no,Normal,Normal,True,0.5789040345698595,0.03368767723441124,0.0021989583037793636,0.75,240,374,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (11).jpg
no (12).jpg,no,Normal,Normal,True,0.6256422018632293,0.02212417684495449,0.0022461467888206244,0.41,362,207,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (12).jpg
no (13).jpg,no,Normal,Normal,True,0.6395537164062262,0.025060180574655533,0.002162677701562643,0.3,389,153,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (13).jpg
no (14).jpg,no,Normal,Normal,True,0.6151241163412731,0.028278136625885963,0.002309255301952362,1.75,231,879,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (14).jpg
no (15).jpg,no,Normal,Normal,True,0.55,0.0392906554043293,0.0029768364038318396,0.63,256,317,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (15).jpg
no (16).jpg,no,Normal,Normal,True,0.6030864305794239,0.03175308555364609,0.0022734373342245817,0.81,267,407,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (16).jpg
no (17).jpg,no,Normal,Normal,True,0.5505181141197681,0.031785622239112854,0.002696891315281391,0.29,319,148,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (17).jpg
no (18).jpg,no,Normal,Normal,True,0.5600739882017176,0.029457876458764076,0.002639556070789695,0.32,416,162,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (18).jpg
no (19).jpg,no,Normal,Normal,True,0.55,0.028491953387856483,0.0029451160226017237,0.33,375,166,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (19).jpg
no (2).jpg,no,Normal,Normal,True,0.5942122768610716,0.03246301785111427,0.0023421270307153463,0.81,252,408,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (2).jpg
no (20).jpg,no,Normal,Normal,True,0.6695130054528515,0.02391311526298523,0.0019829219672828913,1.89,255,950,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (20).jpg
no (21).jpg,no,Normal,Normal,True,0.694725595569859,0.022368689998984337,0.0018316464265808463,0.64,326,321,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (21).jpg
no (22).jpg,no,Normal,Normal,True,0.6070343535393476,0.03143725171685219,0.002278169384226203,0.55,228,278,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (22).jpg
no (23).jpg,no,Normal,Normal,True,0.587092859049638,0.027983224019408226,0.0024774428457021713,0.32,375,161,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (23).jpg
no (24).jpg,no,Normal,Normal,True,0.55,0.03633233532309532,0.0026397882029414177,0.84,257,423,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (24).jpg
no (25).jpg,no,Normal,Normal,True,0.6367352238545816,0.025842592120170593,0.002179588656872511,0.27,362,135,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (25).jpg
no (26).jpg,no,Normal,Normal,True,0.55,0.039743147790431976,0.002766550285741687,1.86,189,933,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (26).jpg
no (27).jpg,no,Normal,Normal,True,0.55,0.033808354288339615,0.0029354167636483908,0.58,258,289,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (27).jpg
no (28).jpg,no,Normal,Normal,True,0.5777490548789501,0.026648273691534996,0.0025335056707262993,0.43,344,218,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (28).jpg
no (29).jpg,no,Normal,Normal,True,0.7418859469083448,0.019484560936689377,0.001548684318549931,0.43,324,214,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (29).jpg
no (3).jpg,no,Normal,Normal,True,0.5525215830033025,0.03216176852583885,0.0026848705019801855,0.63,310,318,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (3).jpg
no (30).jpg,no,Normal,Normal,True,0.6622159766654174,0.025713438168168068,0.002026704140007496,1.03,263,518,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (30).jpg
no (31).jpg,no,Normal,Normal,True,0.6604493353515863,0.024213990196585655,0.002037303987890482,1.2,231,604,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (31).jpg
no (32).jpg,no,Normal,Normal,True,0.609109324713548,0.028027640655636787,0.002345344051718712,0.24,327,121,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (32).jpg
no (33).jpg,no,Normal,Normal,True,0.686968163587153,0.02321094647049904,0.0018781910184770823,0.85,265,424,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (33).jpg
no (34).jpg,no,Normal,Normal,True,0.6487571857869625,0.028099425137043,0.0019996166229248047,0.94,219,471,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (34).jpg
no (35).jpg,no,Normal,Normal,True,0.5996519457548857,0.032027844339609146,0.0023154262453317642,1.38,260,693,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (35).jpg
no (36).jpg,no,Normal,Normal,True,0.5873463340103626,0.028307048603892326,0.0024759219959378242,0.42,384,209,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (36).jpg
no (37).jpg,no,Normal,Normal,True,0.55,0.03789041191339493,0.0027456313837319613,0.86,265,431,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (37).jpg
no (38).jpg,no,Normal,Normal,True,0.5605710428208113,0.0351543165743351,0.002344222739338875,2.43,127,1221,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (38).jpg
no (39).jpg,no,Normal,Normal,True,0.5915868785232306,0.0292921531945467,0.0024504787288606167,0.62,349,310,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (39).jpg
no (4).jpg,no,Normal,Normal,True,0.55,0.033880989998579025,0.0029368093237280846,0.97,372,485,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (4).jpg
no (40).jpg,no,Normal,Normal,True,0.6656975320850809,0.0241368617862463,0.0020058148074895144,1.44,239,721,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (40).jpg
no (41).jpg,no,Normal,Normal,True,0.6096992787594597,0.027794744819402695,0.002341804327443242,0.25,307,125,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (41).jpg
no (42).jpg,no,Normal,Normal,True,0.68447561453407,0.02326834201812744,0.0018931463127955794,1.05,253,527,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (42).jpg
no (43).jpg,no,Normal,Normal,True,0.6065993327647448,0.03147205337882042,0.0022529365960508585,1.09,253,545,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (43).jpg
no (44).jpg,no,Normal,Normal,True,0.5870011625811458,0.02858550474047661,0.0024779930245131254,0.4,346,201,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (44).jpg
no (45).jpg,no,Normal,Normal,True,0.55,0.037243571132421494,0.002683896804228425,0.79,291,396,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (45).jpg
no (46).jpg,no,Normal,Normal,True,0.5659984182566404,0.034720126539468765,0.002318976679816842,2.41,139,1208,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (46).jpg
no (47).jpg,no,Normal,Normal,True,0.5790594645465414,0.032061632722616196,0.0025256432127207518,0.32,340,160,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (47).jpg
no (48).jpg,no,Normal,Normal,True,0.5818095048889518,0.02678619511425495,0.0025091429706662893,0.38,348,189,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (48).jpg
no (49).jpg,no,Normal,Normal,True,0.7473878708357613,0.018969107419252396,0.0015156727749854326,0.48,299,239,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (49).jpg
no (5).jpg,no,Normal,Normal,True,0.55,0.037440262734889984,0.0025643769185990095,0.96,138,481,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (5).jpg
no (50).jpg,no,Normal,Normal,True,0.6149548562243581,0.030803611502051353,0.0022698272950947285,0.88,250,444,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (50).jpg
no (51).jpg,no,Normal,Normal,True,0.55,0.03654779866337776,0.0029599170666188,0.74,312,370,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (51).jpg
no (52).jpg,no,Normal,Normal,True,0.55,0.02856528013944626,0.0029672645032405853,0.3,337,150,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (52).jpg
no (53).jpg,no,Normal,Normal,True,0.5590167042488854,0.02876848168671131,0.002645899774506688,0.56,346,279,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (53).jpg
no (54).jpg,no,Normal,Normal,True,0.55,0.028766611590981483,0.002918918849900365,0.41,365,204,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (54).jpg
no (55).jpg,no,Normal,Normal,True,0.6213244351868827,0.023865925148129463,0.002272053388878703,0.11,325,57,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (55).jpg
no (56).jpg,no,Normal,Normal,True,0.5669839748491843,0.02704254910349846,0.002598096150904894,0.4,353,201,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (56).jpg
no (57).jpg,no,Normal,Normal,True,0.6108280029147863,0.025018667802214622,0.002335031982511282,0.23,339,115,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (57).jpg
no (58).jpg,no,Normal,Normal,True,0.55,0.03322417289018631,0.0027713847812265158,0.61,281,305,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (58).jpg
no (59).jpg,no,Normal,Normal,True,0.6369951016580064,0.0277493204921484,0.002178029390051961,0.62,294,313,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (59).jpg
no (6).jpg,no,Normal,Normal,True,0.5539638912305236,0.027807705104351044,0.0026762166526168585,0.31,377,158,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (6).jpg
no (60).jpg,no,Normal,Normal,True,0.6166427542145054,0.022781584411859512,0.002300143474712968,0.32,353,160,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (60).jpg
no (61).jpg,no,Normal,Normal,True,0.6447166971241434,0.024562545120716095,0.0021316998172551394,0.32,382,163,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (61).jpg
no (62).jpg,no,Normal,Normal,True,0.6081854139144223,0.02899712324142456,0.002350887516513467,2.46,224,1232,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (62).jpg
no (63).jpg,no,Normal,Normal,True,0.55,0.039214134216308594,0.0029840238858014345,0.51,229,257,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (63).jpg
no (64).jpg,no,Normal,Normal,True,0.5965260080993176,0.032277919352054596,0.002305733971297741,0.82,261,411,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (64).jpg
no (65).jpg,no,Normal,Normal,True,0.55,0.03157595545053482,0.0028178824577480555,0.37,394,188,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (65).jpg
no (66).jpg,no,Normal,Normal,True,0.7904964839108288,0.015334462746977806,0.001257021096535027,0.58,286,293,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (66).jpg
no (67).jpg,no,Normal,Normal,True,0.55,0.0356006845831871,0.002938386518508196,0.59,295,295,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (67).jpg
no (68).jpg,no,Normal,Normal,True,0.55,0.0379534475505352,0.0025858404114842415,1.05,118,529,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (68).jpg
no (69).jpg,no,Normal,Normal,True,0.5540282689034939,0.028882406651973724,0.0026758303865790367,0.35,366,176,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (69).jpg
no (7).jpg,no,Normal,Normal,True,0.6317503585790594,0.023462237790226936,0.0022094978485256433,0.25,343,123,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (7).jpg
no (70).jpg,no,Normal,Normal,True,0.6116139615575473,0.024527499452233315,0.0023303162306547165,0.15,329,76,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (70).jpg
no (71).jpg,no,Normal,Normal,True,0.6774603302280109,0.020211929455399513,0.0019352380186319351,0.29,377,145,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (71).jpg
no (72).jpg,no,Normal,Normal,True,0.6829217416234314,0.019673893228173256,0.0019024695502594113,0.25,381,127,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (72).jpg
no (73).jpg,no,Normal,Normal,True,0.6222764020785689,0.029114913195371628,0.0022663415875285864,0.64,326,323,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (73).jpg
no (74).jpg,no,Normal,Normal,True,0.5569378137588501,0.03544497489929199,0.0022896500304341316,0.43,254,214,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (74).jpg
no (75).jpg,no,Normal,Normal,True,0.6175557995835941,0.022380486130714417,0.002294665202498436,0.23,360,114,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (75).jpg
no (76).jpg,no,Normal,Normal,True,0.6275048470124602,0.025824610143899918,0.0022349709179252386,0.76,370,379,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (76).jpg
no (77).jpg,no,Normal,Normal,True,0.5922187420849998,0.030451366677880287,0.0024466875474900007,1.5,228,755,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (77).jpg
no (78).jpg,no,Normal,Normal,True,0.6018624398857355,0.03185100480914116,0.0023051765747368336,0.81,266,408,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (78).jpg
no (8).jpg,no,Normal,Normal,True,0.55,0.03396964818239212,0.0028542468789964914,0.59,271,295,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (8).jpg
no (9).jpg,no,Normal,Normal,True,0.6750699744249384,0.020216135308146477,0.0019495801534503698,0.24,397,119,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no (9).jpg
no997.jpg,no,Normal,Abnormal,False,0.99,0.05156686156988144,0.004385681357234716,0.42,323,210,C:\Users\ASPIRE 3\Desktop\MCA FINAL YEAR PROJECT REPORT\codex project\brain_mri_complete_project\brain_mri_project\Data_Set\no\no997.jpg
